student_id,subject_code
4121084,cs2019CNE401
4121084,cs2019CNE408
4121084,cs2019LAN102
4121094,cs2019SWE405
4121094,cs2019SWE406
4121094,cs2019CSC301
4121094,cs2019CSC304
4121094,cs2019SWE401
4121094,cs2019SWE301
4131098,cs2019CSC304
4131098,cs2019CSC203
4131098,cs2019MAT202
4131098,cs2019CNE202
4131098,cs2019CNE302
4141081,cs2019CNE304
4141081,cs2019SWE301
4141195,cs2019CNE401
4141195,cs2019MAT202
4141195,cs2011CNE404
4141195,cs2019MAT203
4141195,cs2019MAN101
4141208,cs2019SWE301
4141208,cs2019CNE302
4141208,cs2019CSC205
4141208,cs2019CNE202
4141208,cs2019PHY101
4141225,cs2019CNE401
4141225,cs2011CNE401
4141225,cs2011CNE406
4141225,cs2019CSC201
4141225,cs2019SWE201
4141225,cs2019SWE301
4141234,cs2011CNE201
4141234,cs2011CNE301
4141234,cs2011CNE308
4141234,cs2011CNE404
4141234,cs2011CNE406
4141234,cs2011CNE409
4141234,cs2019CSC201
4141250,cs2019MAT202
4141250,cs2019SWE303
4141250,cs2019LAN101
4141250,cs2019MAN101
4141250,cs2019CSC304
41510013,cs2019CNE304
41510013,cs2019CSC301
41510013,cs2019CNE302
41510013,cs2019SWE303
41510013,cs2019SWE301
41510081,cs2019CSC304
41510081,cs2019CSC203
41510081,cs2019CSC301
41510097,cs2019MAT101
41510097,cs2019CNE302
41510097,cs2019CSC102
41510097,cs2019CSC101
41510097,cs2019CSC304
41510115,cs2019CSC404
41510115,cs2019CSC408
41510115,cs2019CSC401
41510115,cs2019SWE401
41510147,cs2019CSC401
41510147,cs2023PH101
41510147,cs2019CSC201
41510147,cs2019MAT202
41610057,cs2019CSC101
41610057,cs2019UNI101
41610062,cs2019MAT101
41610062,cs2019CNE401
41610062,cs2019CSC203
41610062,cs2019SWE303
41610062,cs2019CNE408
41610170,cs2011CNE201
41610170,cs2011MAT103
41610170,cs2011SWE401
41610170,cs2011SWE408
41610170,cs2019LAN102
41610170,cs2019SWE301
41620002,cs2019CNE302
41620002,cs2019CSC301
41620002,cs2019SWE303
41620002,cs2019CNE202
41710063,cs2019CNE401
41710063,cs2019CNE403
41710063,cs2019CSC206
41710063,cs2019CNE409
41710063,cs2019CNE408
41710073,cs2019CNE302
41710073,cs2019SWE301
41710073,cs2019CSC301
41710073,cs2019CSC102
41710073,cs2019CNE304
41710086,cs2011SWE401
41710086,cs2019CSC301
41710086,cs2019MAT203
41710086,cs2019CSC304
41710093,cs2017SWE420
41710093,cs2019SWE405
41710093,cs2019CSC301
41710093,cs2019MAN101
41710093,cs2019SWE406
41710093,cs2019SWE403
41710096,cs2011CNE101
41710096,cs2011MAT201
41710096,cs2019CSC201
41710096,cs2019MAT203
41710102,cs2019CSC304
41710102,cs2011CNE308
41710102,cs2019CSC203
41710102,cs2019CSC201
41710102,cs2019MAT203
41710102,cs2019CNE304
41710113,cs2019CNE304
41710128,cs2019MAT202
41710128,cs2019CSC102
41710128,cs2019CSC203
41710128,cs2019CNE304
41710128,cs2019SWE301
41710160,cs2011CNE401
41710160,cs2011CNE404
41710160,cs2019SWE303
41710160,cs2019CNE408
41710160,cs2019CNE302
41710160,cs2019CSC201
41710173,cs2019SWE303
41710173,cs2019CNE302
41710173,cs2019MAT202
41710173,cs2019CNE304
41710173,cs2019SWE301
41710174,cs2019CSC304
41710174,cs2019SWE301
41710174,cs2019CNE302
41710174,cs2019CSC201
41710198,cs2019CSC203
41710198,cs2019CSC206
41710198,cs2011CNE404
41710198,cs2011CNE406
41710198,cs2019LAN102
41710198,cs2019CSC201
41710201,cs2011CNE404
41710201,cs2011SWE304
41710201,cs2011SWE401
41710201,cs2019SWE406
41710201,cs2019UNI101
41710201,cs2019SWE401
41710205,cs2011CNE406
41710205,cs2019SWE401
41720002,cs2019CNE401
41720002,cs2019CNE403
41720002,cs2019CNE404
41720002,cs2017CNE420
41720002,cs2019CNE409
41720002,cs2019CNE408
41720004,cs2019MAT202
41720004,cs2019CSC203
41720004,cs2019CNE302
41720004,cs2019CSC304
41720004,cs2019CNE304
41810007,cs2019SWE404
41810007,cs2017SWE420
41810007,cs2019SWE405
41810007,cs2019SWE406
41810007,cs2019SWE401
41810007,cs2019SWE403
41810015,cs2019MAT101
41810015,cs2019CNE302
41810015,cs2019MAT203
41810015,cs2019CNE304
41810019,cs2019CNE302
41810019,cs2019SWE404
41810019,cs2017SWE420
41810019,cs2019SWE405
41810019,cs2019SWE406
41810019,cs2019SWE401
41810041,cs2019SWE404
41810041,cs2017SWE420
41810041,cs2019SWE405
41810041,cs2019SWE406
41810041,cs2019SWE401
41810041,cs2019SWE403
41810049,cs2019SWE404
41810049,cs2017SWE420
41810049,cs2019SWE405
41810049,cs2019SWE406
41810049,cs2019SWE401
41810049,cs2019SWE403
41810068,cs2019SWE404
41810068,cs2017SWE420
41810068,cs2019SWE405
41810068,cs2019SWE406
41810068,cs2019SWE401
41810068,cs2019SWE403
41810069,cs2019SWE301
41810069,cs2019CNE302
41810069,cs2019CSC301
41810069,cs2019CSC205
41810069,cs2019CSC304
41810069,cs2019CNE304
41810070,cs2019CSC304
41810070,cs2019MAT202
41810070,cs2017UNI102
41810070,cs2011SWE408
41810070,cs2017CNE310
41810070,cs2019LAN102
41810070,cs2019UNI101
